Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,27.80641,26.58060201,28.53309913,38.21337389,62.54294918,46.81596081,40.87787432,57.63461509,48.58619013,22.54741197,19.16486203,17.65771012,18.17059761,19.1510509,35.04185808,68.72600349,19.79269464,44.81109161,69.65653879,70.66357728,68.07185367,74.94845556,80.45723011,79.57718716,82.32840759
Afghanistan,,,,,,,,,,,,,,3.074576293,4.216855428,5.728735463,5.396046735,7.170886995,12.94098947,6.09459211,6.0678732,5.457683032,1.387809422,3.106608835,5.607752558
Angola,0.703902592,0.708603698,0.466445105,1.064207166,0.583858021,0.415242324,0.519532955,0.59756194,0.648865067,0.594298944,0.424108521,0.272892459,0.527882655,0.456078041,1.336513078,1.411031258,0.959693702,0.989241065,1.78401432,2.624433321,3.400383362,2.219099526,2.483283115,1.345771733,1.122792484
Albania,23.04906157,25.20783052,34.21211511,43.75410195,55.96919127,71.77637511,68.52020662,73.74321772,63.41740743,60.48882102,60.24210796,56.53711425,60.01474923,56.35852031,65.75784538,53.48460236,48.53889723,45.64665762,45.13229832,49.54149643,51.96444312,52.93792043,49.47156282,48.19516798,50.97062306
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,81.80221608
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,10.21780678,10.4662293,10.16973049,10.72755076,11.34037167,10.22828105,8.856965228,5.906141906,6.715981269,6.690603601,6.843354152,7.199902644,7.607116078,6.463307133,6.715850377,6.909259852,6.20590596,6.005464449,5.801929549,6.897874143,7.770352221,7.657109367,7.860524841,7.776450365,7.074492521
Armenia,4.61103089,4.868162613,9.847431247,11.418069,12.1823925,11.44934892,14.41321254,10.83516994,9.167383824,16.91469342,16.65697813,24.65527039,26.51833129,29.01790024,36.55485162,31.39315511,27.78788817,29.23864998,28.68228313,29.95468728,30.4812653,29.10066946,27.76074152,27.48016515,27.15944334
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,78.16724235,78.90855354,80.91403978,82.93770007,82.2763066,82.96384612
Australia,14.7757454,14.88172902,13.90508372,13.90461516,15.24722781,13.80413131,13.89261886,14.37672599,15.92222649,15.69339716,14.34642355,12.93700885,13.67475749,11.68512543,13.79206738,11.93624038,10.58645936,10.94183769,10.60776435,11.92497956,14.91076431,15.56755988,14.82069294,14.45611316,14.00148417
Austria,,,,,,,,,,,11.61849029,,,,,,,,,,10.08995257,10.12768591,9.949776425,10.076343,10.51486475
Azerbaijan,11.08691247,7.188573951,15.30364253,14.16634058,7.254171344,3.21041989,2.406320263,2.372753558,2.303944221,1.915955055,1.228573071,1.465614924,1.418013586,1.197900463,2.394629176,2.805051572,4.049801653,7.179874697,7.290028319,8.3331237,12.65599197,16.24115319,16.19919016,11.10480095,8.48126077
Burundi,1.874935754,4.204254004,1.553443302,1.898302772,2.019364359,2.640132955,2.027653292,4.152928662,2.676456698,2.801189034,1.98756449,1.717334839,2.56605952,1.04594017,1.436465835,1.161968068,1.570029215,,,,,,,,
Belgium,,,,,,,,3.880488295,4.048872833,3.85826613,3.815443615,3.779964956,3.41959992,,3.806016414,3.43357261,3.291088207,3.364689246,3.407676784,3.494492252,2.495242521,2.324173187,2.304391939,2.287295599,2.404054195
Benin,,12.18763353,10.40711239,11.53421159,15.77208897,14.6120668,16.40857689,15.67559435,15.095914,15.38957299,13.94742759,12.75470071,15.28059536,14.44267377,9.053829772,9.002109166,12.07830376,9.272816829,7.729362941,5.02321952,5.40838377,4.044275467,4.827523821,4.548266929,6.718673299
Burkina Faso,,,,,,,,,,,8.434050959,8.230097263,8.226009232,8.300933412,9.363854083,5.55280134,4.116018416,3.891915229,6.329419061,5.696966478,5.517391198,5.25608554,4.609819685,3.967777796,3.872264597
Bangladesh,,,,,,,,0.856932865,0.744172998,0.833568741,0.777142605,,,,0.451680314,0.475652503,0.359391214,0.380558123,0.414095692,0.465858684,0.429806121,0.56899835,0.88842516,0.809009438,0.869641803
Bulgaria,9.769198985,8.647421758,10.72769904,19.22656313,20.43220055,19.4862686,17.41229815,18.45575246,20.46012158,20.05546654,18.95627838,16.26719104,15.89852061,15.93630647,18.36670725,15.04511757,12.62668188,12.16930488,12.25675483,12.23871177,10.98686565,12.02334523,11.69452193,11.62871385,10.97154234
Bahrain,12.36032944,10.97171072,11.51345517,15.64476244,15.03340351,11.90057716,13.41128142,14.16035296,15.11152812,14.55005814,11.96543166,11.40319984,10.7078738,9.076186897,11.92629975,12.09709951,7.696326947,5.578011482,5.498062031,5.965234699,11.02018558,16.90761678,16.38474625,12.73866709,
Bahamas,76.70984896,76.10045909,75.58663065,71.99746822,72.39286038,71.90260949,74.95610678,71.38086178,71.33673761,69.70318276,68.00572287,65.8041419,64.62398163,61.75233534,66.14324766,67.5530224,64.83031859,63.4761775,63.565971,65.64109974,74.76501263,79.6401911,78.4280042,79.04232343,80.3897619
Bosnia and Herzegovina,,,,22.86453933,19.91561452,15.57168812,17.10633913,18.78971238,18.37624642,17.18517838,15.71550377,14.55372247,18.75179633,17.66545672,16.99543133,12.99455186,12.07215984,12.32455511,12.26060203,11.97072557,13.78682811,14.22842182,13.23882196,13.34899745,14.95066402
Belarus,0.531400049,0.910706021,0.510366826,0.760841998,1.437567386,2.667499078,3.47239953,3.428558146,3.115379314,2.417055599,1.973050187,1.859123847,1.782464862,1.614069165,2.312931877,2.266599862,1.603689129,1.898402723,2.620631808,2.835695645,3.083329021,3.398513192,3.072790569,2.888723804,3.073265213
Belize,,30.72991638,29.28390291,30.92373167,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,34.00333748,32.00282162,32.13419545,30.11316078,29.3746488,33.49844943,36.76864703,36.76937789,37.44420842
Bolivia,7.456638029,7.616552291,9.124087591,10.10920897,9.461315428,6.870635677,7.825352494,9.194296003,12.39034143,11.04599229,10.52023955,7.587331764,6.579564181,4.300112055,5.635400629,4.958318732,5.469767816,5.147660788,5.010721141,5.327982447,8.159225306,9.994335887,9.67796798,9.116255895,9.512121591
Brazil,2.061131058,1.416980916,1.730961136,2.390899488,3.142858273,3.078735292,2.756143706,3.088948405,3.226061196,3.132621426,3.117175413,2.932319626,2.883059548,2.690011158,3.137319978,2.381617752,2.178753032,2.358783914,2.427716094,2.805942481,2.795880474,3.040199424,2.445948142,2.300450239,2.355859588
Barbados,60.26062438,53.26230255,56.69085262,59.36990174,58.10803471,56.68353677,55.88859775,53.13358698,57.64563872,57.49722521,51.34324138,52.18935002,55.17788615,53.4153807,56.7395525,50.6646941,46.17365059,44.72695981,42.16370353,38.82327542,41.30148849,44.79383825,,,
